              (-3.0000000000000000,3.0000000000000000)
              (-2.9988223811934240,2.9988223811934240)
              (-2.9952910318194634,2.9952910318194634)
              (-2.9894099393019817,2.9894099393019817)
              (-2.9811861148178136,2.9811861148178136)
              (-2.9706293088328981,2.9706293088328981)
              (-2.9577520890939604,2.9577520890939604)
              (-2.9425697419593093,2.9425697419593093)
              (-2.9251003074901480,2.9251003074901480)
              (-2.9053649678576012,2.9053649678576012)
              (-2.8833874387344860,2.8833874387344860)
              (-2.8591944335929531,2.8591944335929531)
              (-2.8328156077190836,2.8328156077190836)
              (-2.8042836747797537,2.8042836747797537)
              (-2.7736342080397507,2.7736342080397507)
              (-2.7409059530256488,2.7409059530256488)
              (-2.7061408172760761,2.7061408172760761)
              (-2.6693836220866909,2.6693836220866909)
              (-2.6306829860096572,2.6306829860096572)
              (-2.5900905602060882,2.5900905602060882)
              (-2.5476618598870564,2.5476618598870564)
              (-2.5034559159928085,2.5034559159928085)
              (-2.4575358239186573,2.4575358239186573)
              (-2.4099685421245511,2.4099685421245511)
              (-2.3608260998997803,2.3608260998997803)
              (-2.3101845321959731,2.3101845321959731)
              (-2.2581255288518416,2.2581255288518416)
              (-2.2047360484170535,2.2047360484170535)
              (-2.1501093078852405,2.1501093078852405)
              (-2.0943453782231161,2.0943453782231161)
              (-2.0375510884986436,2.0375510884986436)
              (-1.9798430098535904,1.9798430098535904)
              (-1.9213460903554895,1.9213460903554895)
              (-1.8621960385273166,1.8621960385273166)
              (-1.8025416547169946,1.8025416547169946)
              (-1.7425449963542150,1.7425449963542150)
              (-1.6823841537881450,1.6823841537881450)
              (-1.6222562922984283,1.6222562922984283)
              (-1.5623796810077026,1.5623796810077026)
              (-1.5029975915176408,1.5029975915176408)
              (-1.4443806403564130,1.4443806403564130)
              (-1.3868328871810216,1.3868328871810216)
              (-1.3306947741841861,1.3306947741841861)
              (-1.2763471264342390,1.2763471264342390)
              (-1.2242159204608902,1.2242159204608902)
              (-1.1747726787663408,1.1747726787663408)
              (-1.1285358792289613,1.1285358792289613)
              (-1.0860670835941928,1.0860670835941928)
              (-1.0479587219903399,1.0479587219903399)
              (-1.0148184476996647,1.0148184476996647)
            (-0.98724262749550962,0.98724262749550962)
            (-0.96578059983917275,0.96578059983917275)
            (-0.95089530548102175,0.95089530548102175)
            (-0.94292126326916703,0.94292126326916703)
            (-0.94203162702506615,0.94203162702506615)
            (-0.94821823595807964,0.94821823595807964)
            (-0.96129166470373062,0.96129166470373062)
            (-0.98090045547033344,0.98090045547033344)
              (-1.0065653987296181,1.0065653987296181)
              (-1.0377204080493487,1.0377204080493487)
              (-1.0737539707969135,1.0737539707969135)
              (-1.1140432508068252,1.1140432508068252)
              (-1.1579831174011583,1.1579831174011583)
              (-1.2050009660371650,1.2050009660371650)
              (-1.2545695377277457,1.2545695377277457)
              (-1.3062092645946546,1.3062092645946546)
              (-1.3594894759162590,1.3594894759162590)
              (-1.4140247295146320,1.4140247295146320)
              (-1.4694732506886359,1.4694732506886359)
              (-1.5255293492644062,1.5255293492644062)
              (-1.5819228977663555,1.5819228977663555)
              (-1.6384116097783641,1.6384116097783641)
              (-1.6947796641774733,1.6947796641774733)
              (-1.7508324052343904,1.7508324052343904)
              (-1.8063954968919052,1.8063954968919052)
              (-1.8613100122448418,1.8613100122448418)
              (-1.9154337927909402,1.9154337927909402)
              (-1.9686344128448341,1.9686344128448341)
              (-2.0207927728949246,2.0207927728949246)
              (-2.0717996787277819,2.0717996787277819)
              (-2.1215523644024223,2.1215523644024223)
              (-2.1699587797059396,2.1699587797059396)
              (-2.2169319966705339,2.2169319966705339)
              (-2.2623920423282793,2.2623920423282793)
              (-2.3062647775852483,2.3062647775852483)
              (-2.3484811679679636,2.3484811679679636)
              (-2.3889778714747840,2.3889778714747840)
              (-2.4276944092513228,2.4276944092513228)
              (-2.4645761230647651,2.4645761230647651)
              (-2.4995728383658578,2.4995728383658578)
              (-2.5326360187827350,2.5326360187827350)
              (-2.5637232614007073,2.5637232614007073)
              (-2.5927940230035507,2.5927940230035507)
              (-2.6198109245016972,2.6198109245016972)
              (-2.6447417717562565,2.6447417717562565)
              (-2.6675551764790599,2.6675551764790599)
              (-2.6882246416574724,2.6882246416574724)
              (-2.7067259557939476,2.7067259557939476)
              (-2.7230372310773019,2.7230372310773019)
              (-2.7371404774911641,2.7371404774911641)
              (-2.7490196976828352,2.7490196976828352)
              (-2.9988217359079861,2.9988217359079861)
              (-2.9959740639175716,2.9959740639175716)
              (-2.9907754744251975,2.9907754744251975)
              (-2.9832320935093519,2.9832320935093519)
              (-2.9733528372778384,2.9733528372778384)
              (-2.9611493077777067,2.9611493077777067)
              (-2.9466361720999346,2.9466361720999346)
              (-2.9298305292406175,2.9298305292406175)
              (-2.9107526045879406,2.9107526045879406)
              (-2.8894253046560539,2.8894253046560539)
              (-2.8658744495488495,2.8658744495488495)
              (-2.8401287605560062,2.8401287605560062)
              (-2.8122198121337920,2.8122198121337920)
              (-2.7821822751859813,2.7821822751859813)
              (-2.7500537026713157,2.7500537026713157)
              (-2.7158748861573985,2.7158748861573985)
              (-2.6796897498699215,2.6796897498699215)
              (-2.6415452819227281,2.6415452819227281)
              (-2.6014920038163476,2.6014920038163476)
              (-2.5595839798617148,2.5595839798617148)
              (-2.5158786676180647,2.5158786676180647)
              (-2.4704374522377348,2.4704374522377348)
